Hora,Playa,Revolution Square,Centro Habana,La Habana Vieja,Regla,Habana del Este,Guanabacoa,San Miguel del Padrón,Diez de Octubre,Cerro,Marianao,La Lisa,Boyeros,Arroyo Naranjo,Cotorro
60,183,150,119,81,40,160,117,145,185,112,120,132,185,192,75
120,198,171,114,92,43,150,107,142,178,126,139,118,169,175,74
180,234,224,115,119,42,134,90,115,161,138,119,101,175,158,71
240,258,299,113,126,41,125,84,93,149,125,109,90,178,142,64
300,290,302,107,134,40,122,77,94,129,125,112,85,190,129,60
360,311,325,105,144,41,119,69,88,119,122,102,74,187,129,61
420,324,325,114,146,46,107,68,87,117,122,97,70,189,128,56
480,334,330,110,149,45,103,67,86,114,123,93,66,193,126,57
540,336,332,107,155,45,103,64,86,112,123,93,65,193,127,55
600,338,336,109,158,45,104,63,83,112,119,94,64,194,123,54
660,345,313,120,147,39,100,63,82,118,135,99,61,197,120,57
720,308,304,120,133,34,112,71,88,138,117,114,71,207,127,52
780,278,276,126,125,36,118,69,91,153,134,123,77,209,128,53
840,271,260,119,126,37,119,76,94,165,132,112,87,201,144,53
900,273,236,114,122,38,125,83,96,170,126,108,92,203,156,54
960,266,230,114,110,37,130,85,105,169,125,114,97,200,161,53
1020,261,226,114,110,37,129,92,107,164,126,112,99,201,165,53
1080,261,216,115,110,37,129,96,108,166,127,107,107,203,162,52
1140,256,214,108,109,37,127,97,111,169,127,111,111,199,166,54
1200,252,213,112,100,36,132,96,117,169,123,112,115,192,169,58
1260,245,214,107,95,39,134,96,116,170,132,111,116,189,172,60
1320,245,210,106,97,40,135,96,117,173,126,109,116,194,172,60
1380,240,204,107,100,39,135,94,122,172,125,116,116,192,171,63
